"Order uncanceled","Order uncanceled"
"Discount","Discount"
"Shipping","Shipping"
"Er is een storing bij de door u gekozen betaalmethode of bank. Kiest u alstublieft een andere betaalmethode of probeer het later nogmaals","Something went wrong trying to start the payment. Please choose another payment method or try again later"
"Vast bedrag","Fixed amount"
"Percentage van totaalbedrag","Percentage of the total"
"Om met billink te betalen, moet je akkoord gaan met de voorwaarden","To pay with billink you have to accept the terms and conditions"
"Betaling geannuleerd","Payment canceled"
"Algemene instellingen","General settings"
"Pay.nl plugin versie","Pay.nl plugin version"
"Uw API token, deze kunt u vinden op <a href='https://admin.pay.nl/company/tokens'>admin.pay.nl/company/tokens</a>","Your API token, you can find this on: <a href='https://admin.pay.nl/company/tokens'>admin.pay.nl/company/tokens</a>"
"Uw service id, deze kunt u vinden op <a href='https://admin.pay.nl/programs/programs'>admin.pay.nl/programs/programs</a>","Your serviceId, you can find this on: <a href='https://admin.pay.nl/programs/programs'>admin.pay.nl/programs/programs</a>"
"Schakel in om alle betalingen in testmode te starten. Je kunt de betaling vervolgens bevestigen met je apitoken","Enable this to start all transactions in testmode, You can confirm a transaction by filling in your api token on the payment screen"
"Automatisch factureren","Automatic invoicing"
"Betaalde orders automatisch factureren, LET OP! Als dit op NEE staat kun je orders ook niet refunden","Automaticly invoice paid orders, CAUTION! If you disable this you are not able to refund orders"
"Emailen bij factureren","Send invoice email"
"Een email sturen met de factuur","Notify the customer when the invoice is made"
"Statusupdates sturen","Send status updates"
"Updates sturen wanner de status van de order wijzigt","Send a status update when the status of the order is updated"
"Klantgegeven en orderdata naar pay versturen, verplicht indien u gebruik maakt van een achteraf betaalmethode, of wanneer u gebruik wilt maken van Second Chance","Send customer data to pay.nl, required if you are using pay later paymentmethods, or if you want to use Second Chance"
"Winkelwagen vullen bij cancel","Refill cart on cancel"
"Geef aan of u wilt dat de winkelwagen weer wordt gevuld met de producten die waren besteld als de gebruiker op het betaalscherm op annuleren heeft geklikt","Will refill the cart with the products from the order when the customer cancels the transaction"
"Success pagina","Success page"
"De pagina waar de gebruiker naartoe gestuurd moet worden bij een geslaagde betaling","The page where the user is redirected to after a succesfull payment"
"Pending pagina","Pending page"
"De pagina waar de gebruiker naartoe gestuurd moet worden wanneer de betaalstatus nog pending is (bijv. bij paypal komt de statusupdate later)","the page where the user is redirected to when the payment is still pending. Some payment methods don’t process immediately so usually you show the success page here."
"Mislukt pagina","Failure page"
"De pagina waar de gebruiker naartoe gestuurd moet worden bij een mislukte/geannuleerde betaling","The page where the user is redirected to after a failed payment"
"Gebruikers taal","User language"
"De taalcode die naar pay.nl moet worden gestuurd, dit is van invloed op de taal van het betaalscherm en de eventuele email die naar de gebruiker wordt gestuurd door pay (bijvoorbeeld bij bankoverschrijving)","The language code to add to the transaction. The payment screen will be shown in this language, and the emails we send to the customer as well."
"Icoontjes weergeven","Show icons"
"Icoontjes bij de betaalmethoden weergeven","Show the payment method icons in the checkout"
"Betaalkosten weergeven","Show payment charge"
"Kosten voor de betaalmethode weergeven in de checkout","Show the charge of the payment method in the checkout"
"Selecteer hoe groot de icoontjes van de betaalmethoden moeten zijn","Select the size of the payment method icons"
"Text betalingskosten","Payment charge label"
"De text die wordt weergegeven bij de betalingskosten","The text that is shown for the payment charge"
"Gateway","Gateway"
"Gebruik de standard gateway, op <a href='http://status-pay.nl'>status-pay.nl</a> kunt u de status van onze techniek volgen","Use the standard gateway, on <a href='http://status-pay.nl'>status-pay.nl</a> you can view the status of our services"
"Failover gateway","Failover gateway"
"Vul hier de locatie van de failover gateway in die door pay.nl is verstrekt","If applicable, fill in the failover gateway here if pay.nl supplied you with one"
"Refunden inschakelen","Enable refunds"
"Schakel dit uit indien u het rechstreeks refunden wilt uitschakelen","Disable this if you never want the plugin to be able to refund transactions"
"Alle betaalmethoden weergegeven in admin","Display all payment methods in the admin"
"Schakel dit in om alle betaalmethoden selecteerbaar te maken in de admin, er wordt geen betaling gestart","Enable this to show all our payment methods when creating an admin order, no transactions are started."
"Beschikbare betaalmethoden","Available payment methods"
"Beschikbaar","Available"
"Hierboven ziet u de betaalmethoden die voor uw account bij pay.nl beschikbaar zijn","Payment methods above are available in your account"
"Betaallink (alleen admin orders)","Paylink (Only admin orders)"
"Wilt u deze betaalmethode gebruiken","Do you want to use this payment method"
