"Order uncanceled","Ordine non cancellato"
"Discount","Sconto"
"Shipping","Spedizione"
"Er is een storing bij de door u gekozen betaalmethode of bank. Kiest u alstublieft een andere betaalmethode of probeer het later nogmaals","L'inizializzazione del pagamento non e' andata a buon fine. Per piacere scegli un altro metodo di pagamento o riprova più tardi."
"Vast bedrag","Importo fisso"
"Percentage van totaalbedrag","Percentuale del totale"
"Om met billink te betalen, moet je akkoord gaan met de voorwaarden","Per pagare con billink devi accettare i termini e le condizioni"
"Betaling geannuleerd","Pagamento cancellato"
"Algemene instellingen","Impostazioni generali"
"Pay.nl plugin versie","Pay.nl plugin version"
"Uw API token, deze kunt u vinden op <a href='https://admin.pay.nl/company/tokens'>admin.pay.nl/company/tokens</a>","Puoi trovare il tuo API token su: <a href='https://admin.pay.nl/company/tokens'>admin.pay.nl/company/tokens</a>"
"Uw service id, deze kunt u vinden op <a href='https://admin.pay.nl/programs/programs'>admin.pay.nl/programs/programs</a>","Puoi trovare il tuo service Id su: <a href='https://admin.pay.nl/programs/programs'>admin.pay.nl/programs/programs</a>"
"Schakel in om alle betalingen in testmode te starten. Je kunt de betaling vervolgens bevestigen met je apitoken","Abilitare questa operazione per avviare tutte le transazioni in testmode, è possibile confermare una transazione compilando il token API nella schermata di pagamento"
"Automatisch factureren","Fatturazione automatica"
"Betaalde orders automatisch factureren, LET OP! Als dit op NEE staat kun je orders ook niet refunden","Fattura automaticamente gli ordini pagati. ATTENZIONE! Se si disattiva, non sarà possibile rimborsare gli ordini"
"Emailen bij factureren","Invia la fattura per email"
"Een email sturen met de factuur","Invio di una email con la fattura"
"Statusupdates sturen","Invia aggiornamenti dello stato"
"Updates sturen wanner de status van de order wijzigt","Invia un aggiornamento dello stato quando viene aggiornato lo stato dell'ordine"
"Klantgegeven en orderdata naar pay versturen, verplicht indien u gebruik maakt van een achteraf betaalmethode, of wanneer u gebruik wilt maken van Second Chance","Invia i dati dei clienti a pay.nl, necessari se si utilizzano metodi di pagamento posticipati o se si desidera utilizzare Second Chance"
"Winkelwagen vullen bij cancel","Ricarica il carrello quando viene cancellato"
"Geef aan of u wilt dat de winkelwagen weer wordt gevuld met de producten die waren besteld als de gebruiker op het betaalscherm op annuleren heeft geklikt","Ricarica il carrello con i prodotti dell'ordine quando il cliente annulla la transazione"
